,sample_date,tank,wattage,avg_daily_temp
1,2018-05-25,1,100,24.78363636
2,2018-05-26,1,100,21.80604167
3,2018-05-27,1,100,22.84638889
4,2018-05-28,1,100,23.90131944
5,2018-05-29,1,100,21.62819444
6,2018-05-30,1,100,20.40194444
7,2018-05-31,1,100,21.08986111
8,2018-06-01,1,100,19.43916667
9,2018-06-02,1,100,20.52659722
10,2018-06-03,1,100,20.52604167
11,2018-06-04,1,100,21.36444444
12,2018-06-05,1,100,20.10840278
13,2018-06-06,1,100,20.24819444
14,2018-06-07,1,100,19.48451389
15,2018-06-08,1,100,17.60763889
16,2018-06-09,1,100,19.47291667
17,2018-06-10,1,100,20.896875
18,2018-06-11,1,100,21.45763889
19,2018-06-12,1,100,19.82694444
20,2018-06-13,1,100,18.75423611
21,2018-06-14,1,100,20.97006944
22,2018-06-15,1,100,22.66597222
23,2018-06-16,1,100,23.00847222
24,2018-06-17,1,100,24.17138889
25,2018-06-18,1,100,26.09986111
26,2018-06-19,1,100,27.28319444
27,2018-06-20,1,100,27.544375
28,2018-06-21,1,100,25.83770833
29,2018-06-22,1,100,23.52875
30,2018-06-23,1,100,23.96777778
31,2018-06-24,1,100,23.17444444
32,2018-06-25,1,100,22.34548611
33,2018-06-26,1,100,23.63229167
34,2018-06-27,1,100,23.78090278
35,2018-06-28,1,100,22.10444444
36,2018-06-29,1,100,20.62201389
37,2018-06-30,1,100,19.96222222
38,2018-07-01,1,100,22.08333333
39,2018-07-02,1,100,21.54319444
40,2018-07-03,1,100,23.28090278
41,2018-07-04,1,100,24.21347222
42,2018-07-05,1,100,25.48513889
43,2018-07-06,1,100,24.58159722
44,2018-07-07,1,100,23.82798611
45,2018-07-08,1,100,23.70486111
46,2018-07-09,1,100,22.63590278
47,2018-07-10,1,100,21.87256944
48,2018-07-11,1,100,23.75208333
49,2018-07-12,1,100,25.01694444
50,2018-07-13,1,100,24.17715278
51,2018-07-14,1,100,23.305
52,2018-07-15,1,100,25.08118056
53,2018-07-16,1,100,25.70479167
54,2018-07-17,1,100,26.91215278
55,2018-07-18,1,100,26.57298611
56,2018-07-19,1,100,24.06965278
57,2018-07-20,1,100,24.05166667
58,2018-07-21,1,100,23.97222222
59,2018-07-22,1,100,25.13513889
60,2018-07-23,1,100,26.72291667
61,2018-07-24,1,100,27.28902778
62,2018-07-25,1,100,27.64284722
63,2018-07-26,1,100,27.42770833
64,2018-07-27,1,100,27.555625
65,2018-07-28,1,100,27.32743056
66,2018-07-29,1,100,27.59763889
67,2018-07-30,1,100,28.42243056
68,2018-07-31,1,100,27.824375
69,2018-08-01,1,100,25.18763889
70,2018-08-02,1,100,24.293125
71,2018-08-03,1,100,24.216875
72,2018-08-04,1,100,24.77131944
73,2018-08-05,1,100,25.8975
74,2018-05-25,2,200,24.31954545
75,2018-05-26,2,200,21.73736111
76,2018-05-27,2,200,23.058125
77,2018-05-28,2,200,24.16701389
78,2018-05-29,2,200,21.85826389
79,2018-05-30,2,200,20.69430556
80,2018-05-31,2,200,21.40868056
81,2018-06-01,2,200,19.799375
82,2018-06-02,2,200,21.23659722
83,2018-06-03,2,200,21.14298611
84,2018-06-04,2,200,21.91215278
85,2018-06-05,2,200,20.51854167
86,2018-06-06,2,200,20.82652778
87,2018-06-07,2,200,19.90451389
88,2018-06-08,2,200,18.30243056
89,2018-06-09,2,200,20.19986111
90,2018-06-10,2,200,21.24861111
91,2018-06-11,2,200,21.84631944
92,2018-06-12,2,200,20.22493056
93,2018-06-13,2,200,19.51347222
94,2018-06-14,2,200,21.48777778
95,2018-06-15,2,200,22.89006944
96,2018-06-16,2,200,23.17354167
97,2018-06-17,2,200,24.48472222
98,2018-06-18,2,200,26.460625
99,2018-06-19,2,200,27.48958333
100,2018-06-20,2,200,27.73423611
101,2018-06-21,2,200,25.94763889
102,2018-06-22,2,200,23.806875
103,2018-06-23,2,200,24.40673611
104,2018-06-24,2,200,23.44944444
105,2018-06-25,2,200,22.77347222
106,2018-06-26,2,200,23.93513889
107,2018-06-27,2,200,24.14104167
108,2018-06-28,2,200,22.369375
109,2018-06-29,2,200,21.10805556
110,2018-06-30,2,200,20.60277778
111,2018-07-01,2,200,22.78694444
112,2018-07-02,2,200,21.90402778
113,2018-07-03,2,200,23.67944444
114,2018-07-04,2,200,24.65791667
115,2018-07-05,2,200,25.97
116,2018-07-06,2,200,24.95486111
117,2018-07-07,2,200,24.26506944
118,2018-07-08,2,200,24.05395833
119,2018-07-09,2,200,23.15083333
120,2018-07-10,2,200,22.59527778
121,2018-07-11,2,200,24.33923611
122,2018-07-12,2,200,25.29729167
123,2018-07-13,2,200,24.41284722
124,2018-07-14,2,200,23.38208333
125,2018-07-15,2,200,25.28618056
126,2018-07-16,2,200,25.87270833
127,2018-07-17,2,200,27.15354167
128,2018-07-18,2,200,26.76270833
129,2018-07-19,2,200,24.37402778
130,2018-07-20,2,200,24.36423611
131,2018-07-21,2,200,24.42319444
